time,x,y,z,qx,qy,qz,qw,type
16.3,11.3,0.0,0.0,0.0,0.0,0.0,1.0,S
16.4,11.4,0.0,0.0,0.0,0.0,0.0,1.0,S
16.5,11.5,0.0,0.0,0.0,0.0,0.0,1.0,S
16.6,11.6,0.0,0.0,0.0,0.0,0.0,1.0,S
16.7,11.7,0.0,0.0,0.0,0.0,0.0,1.0,S
16.8,11.8,0.0,0.0,0.0,0.0,0.0,1.0,S
16.9,11.9,0.0,0.0,0.0,0.0,0.0,1.0,S
17.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,S
17.1,12.1,0.0,0.0,0.0,0.0,0.0,1.0,S
17.2,12.2,0.0,0.0,0.0,0.0,0.0,1.0,S
17.3,12.3,0.0,0.0,0.0,0.0,0.0,1.0,S
17.4,12.4,0.0,0.0,0.0,0.0,0.0,1.0,S
17.5,12.5,0.0,0.0,0.0,0.0,0.0,1.0,S
17.6,12.6,0.0,0.0,0.0,0.0,0.0,1.0,S
17.7,12.7,0.0,0.0,0.0,0.0,0.0,1.0,S
17.8,12.8,0.0,0.0,0.0,0.0,0.0,1.0,S
17.9,12.9,0.0,0.0,0.0,0.0,0.0,1.0,S
18.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,S
18.1,13.1,0.0,0.0,0.0,0.0,0.0,1.0,S
18.2,13.2,0.0,0.0,0.0,0.0,0.0,1.0,S
18.3,13.3,0.0,0.0,0.0,0.0,0.0,1.0,S
18.4,13.4,0.0,0.0,0.0,0.0,0.0,1.0,S
18.5,13.5,0.0,0.0,0.0,0.0,0.0,1.0,S
18.6,13.6,0.0,0.0,0.0,0.0,0.0,1.0,S
18.7,13.7,0.0,0.0,0.0,0.0,0.0,1.0,S
18.8,13.8,0.0,0.0,0.0,0.0,0.0,1.0,S
18.9,13.9,0.0,0.0,0.0,0.0,0.0,1.0,S
19.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,S
19.1,14.1,0.0,0.0,0.0,0.0,0.0,1.0,S
19.2,14.2,0.0,0.0,0.0,0.0,0.0,1.0,S
19.3,14.3,0.0,0.0,0.0,0.0,0.0,1.0,S
19.4,14.4,0.0,0.0,0.0,0.0,0.0,1.0,S
19.5,14.5,0.0,0.0,0.0,0.0,0.0,1.0,S
19.6,14.6,0.0,0.0,0.0,0.0,0.0,1.0,S
19.7,14.7,0.0,0.0,0.0,0.0,0.0,1.0,S
19.8,14.8,0.0,0.0,0.0,0.0,0.0,1.0,S
19.9,14.9,0.0,0.0,0.0,0.0,0.0,1.0,S
20.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,S
20.1,15.1,0.0,0.0,0.0,0.0,0.0,1.0,S
20.2,15.2,0.0,0.0,0.0,0.0,0.0,1.0,S
20.3,15.3,0.0,0.0,0.0,0.0,0.0,1.0,S
20.4,15.4,0.0,0.0,0.0,0.0,0.0,1.0,S
20.5,15.5,0.0,0.0,0.0,0.0,0.0,1.0,S
20.6,15.6,0.0,0.0,0.0,0.0,0.0,1.0,S
20.7,15.7,0.0,0.0,0.0,0.0,0.0,1.0,S
20.8,15.8,0.0,0.0,0.0,0.0,0.0,1.0,S
20.9,15.9,0.0,0.0,0.0,0.0,0.0,1.0,S
21.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,S
21.1,16.1,0.0,0.0,0.0,0.0,0.0,1.0,S
21.2,16.2,0.0,0.0,0.0,0.0,0.0,1.0,S
21.3,16.3,0.0,0.0,0.0,0.0,0.0,1.0,S
21.4,16.4,0.0,0.0,0.0,0.0,0.0,1.0,S
21.5,16.5,0.0,0.0,0.0,0.0,0.0,1.0,S
21.6,16.6,0.0,0.0,0.0,0.0,0.0,1.0,S
21.7,16.7,0.0,0.0,0.0,0.0,0.0,1.0,S
21.8,16.8,0.0,0.0,0.0,0.0,0.0,1.0,S
21.9,16.9,0.0,0.0,0.0,0.0,0.0,1.0,S
22.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,S
22.1,17.1,0.0,0.0,0.0,0.0,0.0,1.0,S
22.2,17.2,0.0,0.0,0.0,0.0,0.0,1.0,S
22.3,17.3,0.0,0.0,0.0,0.0,0.0,1.0,S
22.4,17.4,0.0,0.0,0.0,0.0,0.0,1.0,S
22.5,17.5,0.0,0.0,0.0,0.0,0.0,1.0,S
22.6,17.6,0.0,0.0,0.0,0.0,0.0,1.0,S
22.7,17.7,0.0,0.0,0.0,0.0,0.0,1.0,S
22.8,17.8,0.0,0.0,0.0,0.0,0.0,1.0,S
22.9,17.9,0.0,0.0,0.0,0.0,0.0,1.0,S
23.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,S
23.1,18.1,0.0,0.0,0.0,0.0,0.0,1.0,S
23.2,18.2,0.0,0.0,0.0,0.0,0.0,1.0,S
23.3,18.3,0.0,0.0,0.0,0.0,0.0,1.0,S
23.4,18.4,0.0,0.0,0.0,0.0,0.0,1.0,S
23.5,18.5,0.0,0.0,0.0,0.0,0.0,1.0,S
23.6,18.6,0.0,0.0,0.0,0.0,0.0,1.0,S
23.7,18.7,0.0,0.0,0.0,0.0,0.0,1.0,S
23.8,18.8,0.0,0.0,0.0,0.0,0.0,1.0,S
23.9,18.9,0.0,0.0,0.0,0.0,0.0,1.0,S
24.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,S
24.1,19.1,0.0,0.0,0.0,0.0,0.0,1.0,S
24.2,19.2,0.0,0.0,0.0,0.0,0.0,1.0,S
24.3,19.3,0.0,0.0,0.0,0.0,0.0,1.0,S
24.4,19.4,0.0,0.0,0.0,0.0,0.0,1.0,S
24.5,19.5,0.0,0.0,0.0,0.0,0.0,1.0,S
24.6,19.6,0.0,0.0,0.0,0.0,0.0,1.0,S
24.7,19.7,0.0,0.0,0.0,0.0,0.0,1.0,S
24.8,19.8,0.0,0.0,0.0,0.0,0.0,1.0,S
